center,left,right,steering,throttle,brake,speed
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_907.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_907.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_907.jpg,0,0,0,4.35E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_980.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_980.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_980.jpg,0,0,0,5.56E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_051.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_051.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_051.jpg,0,0,0,4.69E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_121.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_121.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_121.jpg,0,0,0,5.17E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_193.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_193.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_193.jpg,0,0,0,6.52E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_265.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_265.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_265.jpg,0,0,0,5.03E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_339.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_339.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_339.jpg,0,0,0,1.07E-05
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_412.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_412.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_412.jpg,0,0,0,1.83E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_483.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_483.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_483.jpg,0,0,0,4.56E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_555.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_555.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_555.jpg,0,0,0,4.37E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_628.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_628.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_628.jpg,0,0,0,1.21E-05
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_702.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_702.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_702.jpg,0,0.215165,0,0.1492581
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_783.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_783.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_783.jpg,0,0.4656594,0,0.5396943
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_927.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_927.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_927.jpg,0,0.8716639,0,1.842918
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_18_997.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_18_997.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_18_997.jpg,0,1,0,2.777751
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_062.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_062.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_062.jpg,0,1,0,3.478723
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_133.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_133.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_133.jpg,0,1,0,4.417603
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_208.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_208.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_208.jpg,0,1,0,5.347765
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_281.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_281.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_281.jpg,0,1,0,6.040726
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_354.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_354.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_354.jpg,0,1,0,6.958399
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_428.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_428.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_428.jpg,0,1,0,7.64197
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_499.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_499.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_499.jpg,0,1,0,8.547197
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_572.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_572.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_572.jpg,0,1,0,9.445363
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_642.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_642.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_642.jpg,0,0.7877734,0,9.978384
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_715.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_715.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_715.jpg,-0.04105572,0.5720575,0,10.46947
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_786.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_786.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_786.jpg,-0.1847507,0.3573307,0,10.67073
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_860.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_860.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_860.jpg,-0.3079179,0.1377093,0,10.70761
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_19_932.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_19_932.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_19_932.jpg,-0.3284458,0,0,10.62209
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_002.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_002.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_002.jpg,-0.3753666,0,0,10.54811
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_075.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_075.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_075.jpg,-0.4193548,0,0,10.44986
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_147.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_147.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_147.jpg,-0.4222874,0,0,10.36061
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_220.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_220.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_220.jpg,-0.4222874,0,0,10.29615
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_294.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_294.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_294.jpg,-0.4340176,0,0,10.20988
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_365.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_365.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_365.jpg,-0.4486803,0,0,10.14453
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_454.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_454.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_454.jpg,-0.4486803,0,0,10.03974
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_596.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_596.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_596.jpg,-0.42522,0,0,9.900495
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_661.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_661.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_661.jpg,-0.3255132,0,0,9.847679
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_798.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_798.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_798.jpg,-0.2346041,0,0,9.718867
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_20_865.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_20_865.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_20_865.jpg,-0.2316716,0,0,9.661721
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_004.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_004.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_004.jpg,-0.1964809,0,0,9.528981
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_083.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_083.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_083.jpg,-0.1847507,0,0,9.453799
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_149.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_149.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_149.jpg,-0.1847507,0,0,9.378334
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_222.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_222.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_222.jpg,-0.143695,0,0,9.323031
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_301.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_301.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_301.jpg,-0.1348974,0,0,9.249102
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_371.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_371.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_371.jpg,-0.1085044,0,0,9.1757
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_451.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_451.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_451.jpg,-0.1085044,0,0,9.102331
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_518.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_518.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_518.jpg,-0.1085044,0.2059796,0,9.182137
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_595.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_595.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_595.jpg,-0.1085044,0.4275975,0,9.506996
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_667.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_667.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_667.jpg,-0.1085044,0.6509809,0,10.04432
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_737.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_737.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_737.jpg,-0.1055719,0.8631004,0,10.59332
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_805.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_805.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_805.jpg,-0.1055719,1,0,11.24307
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_884.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_884.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_884.jpg,-0.1055719,1,0,11.87555
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_21_966.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_21_966.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_21_966.jpg,-0.1260997,1,0,13.01567
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_042.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_042.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_042.jpg,-0.1348974,0.7719598,0,13.66841
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_116.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_116.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_116.jpg,-0.1378299,0.5506175,0,14.11715
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_190.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_190.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_190.jpg,-0.1378299,0.7723619,0,14.7129
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_265.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_265.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_265.jpg,-0.1378299,0.9898226,0,15.31606
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_332.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_332.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_332.jpg,-0.1378299,1,0,16.13315
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_418.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_418.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_418.jpg,-0.1378299,1,0,16.96665
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_556.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_556.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_556.jpg,-0.1378299,1,0,18.57545
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_637.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_637.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_637.jpg,-0.1260997,1,0,19.38633
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_711.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_711.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_711.jpg,-0.1143695,1,0,20.18828
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_787.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_787.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_787.jpg,-0.06744868,1,0,20.98326
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_861.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_861.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_861.jpg,-0.04398827,0.7783918,0,21.39468
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_22_938.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_22_938.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_22_938.jpg,-0.03225806,0.5491482,0,21.76192
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_013.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_013.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_013.jpg,-0.008797654,0.3273439,0,21.91012
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_085.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_085.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_085.jpg,0.002932551,0.1049316,0,22.03852
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_158.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_158.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_158.jpg,0.002932551,0,0,21.89651
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_231.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_231.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_231.jpg,0.002932551,0,0,21.73328
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_303.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_303.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_303.jpg,0.002932551,0,0,21.31992
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_378.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_378.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_378.jpg,0.002932551,0,0,21.14334
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_451.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_451.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_451.jpg,0.002932551,0,0,20.96821
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_525.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_525.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_525.jpg,0.002932551,0,0,21.13914
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_605.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_605.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_605.jpg,-0.04692082,0.2392248,0,21.15462
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_677.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_677.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_677.jpg,-0.05571847,0.4565324,0,21.3788
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_752.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_752.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_752.jpg,-0.1202346,0.2310968,0,21.45144
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_831.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_831.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_831.jpg,-0.1202346,0,0,21.33119
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_899.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_899.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_899.jpg,-0.1231671,0,0,20.91699
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_23_979.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_23_979.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_23_979.jpg,-0.1231671,0,0,20.74007
